"","01_MCF10_1_A","02_MCF10_1_B","03_MCF10_2_A","04_MCF10_2_B","05_MCF10_3_A","06_MCF10_3_B","07_MDA_1_A","08_MDA_1_B","09_MDA_2_A","10_MDA_2_B","11_MDA_3_A","12_MDA_3_B"
"01_MCF10_1_A",1,0.980891427106783,0.968709123170233,0.96441858100921,0.956968853700105,0.96151820718122,0.608620059895608,0.609039186861558,0.58287818218468,0.629695172779498,0.585121319611818,0.584379328839957
"02_MCF10_1_B",0.980891427106783,1,0.963754483990734,0.956702429401392,0.957358037523902,0.959906362567582,0.611031468520488,0.596879404606929,0.584579628750459,0.614353036801735,0.568898464378696,0.567541242105569
"03_MCF10_2_A",0.968709123170233,0.963754483990734,1,0.983909355086195,0.980716850920654,0.984023679221327,0.606981159002647,0.608859584326288,0.596177293497193,0.625893681594209,0.590031943970556,0.571706997780812
"04_MCF10_2_B",0.96441858100921,0.956702429401392,0.983909355086195,1,0.970426268257051,0.977629159114758,0.615601181891729,0.638992432624199,0.623114664572116,0.640973338819421,0.604470857036454,0.595876515679113
"05_MCF10_3_A",0.956968853700105,0.957358037523902,0.980716850920654,0.970426268257051,1,0.983543079100389,0.635591997082803,0.6416142254709,0.631390234375309,0.652600982405128,0.610917161486053,0.581305153561102
"06_MCF10_3_B",0.96151820718122,0.959906362567582,0.984023679221327,0.977629159114758,0.983543079100389,1,0.604388395879277,0.623117023851914,0.600814752358557,0.623832979088501,0.576757165377785,0.562025490595405
"07_MDA_1_A",0.608620059895608,0.611031468520488,0.606981159002647,0.615601181891729,0.635591997082803,0.604388395879277,1,0.977118932077096,0.973757673805923,0.977139584810796,0.945534935611495,0.963231173315257
"08_MDA_1_B",0.609039186861558,0.596879404606929,0.608859584326288,0.638992432624199,0.6416142254709,0.623117023851914,0.977118932077096,1,0.980126519255663,0.973944321144205,0.941429144288537,0.964870811353324
"09_MDA_2_A",0.58287818218468,0.584579628750459,0.596177293497193,0.623114664572116,0.631390234375309,0.600814752358557,0.973757673805923,0.980126519255663,1,0.980626458916397,0.939933632642299,0.959178530812356
"10_MDA_2_B",0.629695172779498,0.614353036801735,0.625893681594209,0.640973338819421,0.652600982405128,0.623832979088501,0.977139584810796,0.973944321144205,0.980626458916397,1,0.950925061477805,0.967883912232655
"11_MDA_3_A",0.585121319611818,0.568898464378696,0.590031943970556,0.604470857036454,0.610917161486053,0.576757165377785,0.945534935611495,0.941429144288537,0.939933632642299,0.950925061477805,1,0.960691896741808
"12_MDA_3_B",0.584379328839957,0.567541242105569,0.571706997780812,0.595876515679113,0.581305153561102,0.562025490595405,0.963231173315257,0.964870811353324,0.959178530812356,0.967883912232655,0.960691896741808,1
